Qty,Designator,Footprint,Comment,LCSC Part #,Description,Device
10,"C1, C5, C10, C15, C16, C17, C18, C19, C20, C27",C0402,100nF,C1525,,CAP-0402
1,R24,402,10K,C25744,,RES-0402
2,"R9, R25",402,10R,C25077,,RES-0402
3,"C25, C26, C28",C0402,10uF,C15525,,CAP-0402
2,"C13, C14",C0402,15pF,C1548,,CAP-0402
2,"R20, R23",402,1K,C11702,,RES-0402
8,"C2, C3, C4, C8, C11, C12, C21, C22",C0402,1uF,C52923,,CAP-0402
1,S_LED10,LED_VLMW15_VIS,20mA,C20613596,,VLMW1500-GS08
2,"C23, C24",C0402,2u2,C12530,,CAP-0402
1,3V3_REG2,NCP718BSN330T1G,3V3,C892795,,NCP718BSN330T1G
1,U$2,SOP65P210X110-6N,"74LVC1G332GW,125",C548342,,"74LVC1G332GW,125"
2,"D2, D3",SOD-323,BZX384C5V6-E3-08,C191023,"VISHAY - Zener Single Diode, 5.6 V, 200 mW, SOD-323, 5 %, 2 Pins, 150 °C - SOD-323 Check availability",BZX384C5V6-E3-08
1,L1,INDUCTOR_1007, AOTA-B201610S3R3-101-T,C42411119,Inductors,INDUCTOR
1,X3,RP2350,RP2350,C42411118,,RP2350_QFN60
2,"U4, U5",SOP65P780X200-20N,SN74LVC245ADBR,C393617,Check availability,SN74LVC245ADBR
1,U6,SOP65P640X120-24N,SN74LVCC4245APWR,C7035,Check availability,SN74LVCC4245APWR
1,X2,TSX-3225,TSX-32250,C20625731,MHz RANGE CRYSTAL UNIT,TSX-32250
1,U3,SOIC127P790X216-8N,W25Q128JVSIQ,C97521,Check availability,W25Q128JVSIQ
