Designator,Mid X,Mid Y,Layer,Rotation
3V3_REG2,30.9245,20.066,TOP,180
ACT_LED,7.2517,38.1,TOP,0
C1,24.9555,33.274,TOP,0
C2,10.4775,15.748,TOP,90
C3,20.0025,37.973,TOP,270
C4,18.3515,15.748,TOP,90
C5,18.8595,37.973,TOP,90
C6,14.732,34.798,TOP,90
C8,28.2575,19.558,TOP,90
C11,33.5915,19.558,TOP,90
C13,27.8765,28.575,TOP,180
C14,27.8765,34.163,TOP,0
C15,24.9555,30.734,TOP,0
C16,20.6375,27.432,TOP,270
C17,27.3685,16.7005,TOP,270
C18,1.905,27.432,TOP,90
C19,14.224,29.0195,TOP,180
C20,14.3383,37.973,TOP,90
C21,13.5255,32.639,TOP,180
C22,23.0505,37.973,TOP,90
C23,13.1953,37.973,TOP,90
C24,15.4813,37.973,TOP,90
C25,34.7345,19.558,TOP,90
C26,27.1145,19.558,TOP,90
C27,17.906997,27.622497,TOP,225
C28,13.6525,34.798,TOP,90
D2,27.8765,24.18,TOP,90
D3,30.6705,24.18,TOP,90
L1,12.065,34.798,TOP,270
R1,1.524,16.383,TOP,0
R2,1.524,17.526,TOP,0
R3,1.524,18.669,TOP,0
R4,1.524,19.812,TOP,0
R5,1.524,20.955,TOP,0
R6,1.524,22.098,TOP,0
R7,1.524,23.241,TOP,0
R8,1.524,24.384,TOP,0
R9,12.0523,37.973,TOP,90
R20,9.8425,37.973,TOP,90
R23,24.9555,32.131,TOP,180
R24,26.543,35.7505,TOP,0
R25,16.6243,37.973,TOP,90
U$2,31.6865,16.764,TOP,90
U1,6.477,20.32,TOP,180
U3,7.1755,28.702,TOP,90
U4,14.4145,20.32,TOP,180
U5,22.4155,20.32,TOP,180
X2,27.9145,31.453,TOP,90
X3,19.2405,32.766,TOP,90
